metric,value
image_auroc,0.9896825396825397
image_f1,1.0
pixel_f1,0.7546155700168715
region_f1,0.7583333333333334
pixel_auroc,0.9836229831679023
pro_auroc,0.9484983450538702
latency_ms_mean,57.58427047729492
latency_ms_std,1.6726289987564087
fps,17.36585341294361
throughput_samples_per_sec,18.038798308970197
throughput_total_samples,13829.0
throughput_total_time_sec,766.6253462750465
gpu_peak_reserved_bytes,2373976064.0
gpu_peak_reserved_bytes_std,0.0
params_total,430865665.0
params_trainable,430856449.0
flops,nan
vram_peak_bytes,2157543424.0
