metric,value
image_auroc,0.9747001499250375
image_f1,0.9502762430939227
pixel_f1,0.5860559457852252
region_f1,0.3867403314917127
pixel_auroc,0.9663400035140144
pro_auroc,0.8943775234629341
latency_ms_mean,57.559715270996094
latency_ms_std,1.6485843658447266
fps,17.37326175593319
throughput_samples_per_sec,18.235290575313932
throughput_total_samples,15000.0
throughput_total_time_sec,822.5808049533516
gpu_peak_reserved_bytes,2392850432.0
gpu_peak_reserved_bytes_std,0.0
params_total,430865665.0
params_trainable,430856449.0
flops,nan
vram_peak_bytes,2163160064.0
