category,image_auroc,image_f1,pixel_f1,region_f1,pixel_auroc,pro_auroc,latency_ms_mean,latency_ms_std,fps,throughput_samples_per_sec,throughput_total_samples,throughput_total_time_sec,gpu_peak_reserved_bytes,gpu_peak_reserved_bytes_std,params_total,params_trainable,flops,vram_peak_bytes
bottle,0.7730158730158729,0.8630136986301369,0.26895444279427344,0.03846153846153846,0.5463880951907756,0.4374909419925035,36.31315231323242,3.184215784072876,27.538231640539852,59.408096751909675,13829.0,232.77971785143018,570425344.0,0.0,208377345.0,208377345.0,nan,540057600.0
cable,0.5416041979010495,0.7634854771784232,0.0746004599899388,0.0,0.5128937096670937,0.28903917947461544,37.70264434814453,4.710994243621826,26.523338542677397,61.71122069205777,15000.0,243.06762743927538,574619648.0,0.0,208377345.0,208377345.0,nan,539274240.0
capsule,0.6777024331870762,0.9045643153526971,0.1808910121327071,0.029069767441860465,0.8739434383129935,0.6667645389338552,37.99099349975586,4.90597677230835,26.322028140865182,59.68775835267615,14668.0,245.7455331683159,578813952.0,0.0,208377345.0,208377345.0,nan,539208704.0
carpet,0.7901284109149278,0.9042553191489362,0.21234756049262238,0.05263157894736842,0.835118955334346,0.565009565469596,37.777462005615234,4.378064155578613,26.470809496184796,57.247126952476556,14625.0,255.47133591771126,583008256.0,0.0,208377345.0,208377345.0,nan,539208704.0
grid,0.4611528822055138,0.8507462686567167,0.05840560511663528,0.00851063829787234,0.6754479969857661,0.3310835156613481,36.91092300415039,3.5816898345947266,27.09225125276755,60.31931004467956,15600.0,258.6236478574574,574619648.0,0.0,208377345.0,208377345.0,nan,538583552.0
hazelnut,0.6628571428571429,0.8070175438596491,0.3768088446886921,0.04065040650406503,0.9315430318565278,0.6982110336602295,38.47153854370117,5.7890825271606445,25.993241701630023,57.32384743745637,15714.0,274.1267500780523,599785472.0,0.0,208377345.0,208377345.0,nan,537695232.0
leather,0.5940896739130435,0.8518518518518519,0.17582296732569222,0.007117437722419929,0.8527548620424014,0.5633314881349483,38.16105651855469,4.902315139770508,26.204725215450456,60.55085554812761,15500.0,255.98317083530128,582995648.0,397707.625,208377345.0,208377345.0,nan,538848256.0
metal_nut,0.3260019550342131,0.8942307692307694,0.264630006904638,0.1927710843373494,0.40080478831451166,0.1815862019425922,36.683563232421875,3.6383068561553955,27.260165367909906,66.17895745585376,14375.0,217.21405946277082,587189952.0,397707.625,208377345.0,208377345.0,nan,538356736.0
pill,0.6118385160938351,0.9155844155844156,0.12756088689227055,0.04975124378109452,0.669127505580942,0.40984444946219967,37.30628204345703,3.7138359546661377,26.805136969562614,68.69936818205686,15181.0,220.97728700749576,591384256.0,397707.625,208377345.0,208377345.0,nan,538160128.0
screw,0.5683541709366673,0.853046594982079,0.08198873676735313,0.00641025641025641,0.8835949789372185,0.6334527664777554,37.22274398803711,4.896053314208984,26.865295055125078,69.16455265860284,16000.0,231.33237164095044,595591168.0,0.0,208377345.0,208377345.0,nan,537963520.0
tile,0.7572150072150072,0.8512820512820515,0.2318633158155441,0.05319148936170213,0.6766227072358394,0.3293885863011327,37.96521759033203,4.282526016235352,26.33989908317168,62.26177498436403,14625.0,234.89532708749175,587202560.0,0.0,208377345.0,208377345.0,nan,537044992.0
toothbrush,0.5111111111111111,0.8333333333333333,0.17582057573801857,0.030303030303030307,0.8283573749462136,0.40538457285594254,38.23308563232422,4.895544528961182,26.155356897339946,38.028903699043234,14002.0,368.1936274264008,578813952.0,0.0,208377345.0,208377345.0,nan,538706944.0
transistor,0.5475,0.5839416058394161,0.1715573143473862,0.03296703296703297,0.5957410275431999,0.17908629110909677,37.715187072753906,3.660571813583374,26.51451782728706,55.87429251550902,14284.0,255.645295124501,591396864.0,0.0,208377345.0,208377345.0,nan,538759168.0
wood,0.8087719298245614,0.900763358778626,0.310517584060185,0.05084745762711864,0.8246202943167461,0.5088793732332192,36.803375244140625,3.372868776321411,27.171420919042134,51.557081054557905,15800.0,306.4564493726939,583008256.0,0.0,208377345.0,208377345.0,nan,539200000.0
zipper,0.7780987394957982,0.8941176470588236,0.2679293898494853,0.058181818181818175,0.7633905523614171,0.5002373004104873,36.0959587097168,3.214233875274658,27.703932399800937,69.79303327890928,15100.0,216.3539724610746,599772864.0,397707.625,208377345.0,208377345.0,nan,539611136.0
