metric,value
image_auroc,0.5410419790104947
image_f1,0.7634854771784232
pixel_f1,0.07459434765142815
region_f1,0.003424657534246575
pixel_auroc,0.5129195774833554
pro_auroc,0.29001062357221874
latency_ms_mean,49.19318771362305
latency_ms_std,2.9339756965637207
fps,20.328017891856813
throughput_samples_per_sec,35.90206679720346
throughput_total_samples,15000.0
throughput_total_time_sec,417.8032447192818
gpu_peak_reserved_bytes,1084227584.0
gpu_peak_reserved_bytes_std,0.0
params_total,208377345.0
params_trainable,208377345.0
flops,nan
vram_peak_bytes,935153152.0
