metric,value
image_auroc,0.6777024331870762
image_f1,0.9045643153526971
pixel_f1,0.1811654165987282
region_f1,0.029069767441860465
pixel_auroc,0.87409119575458
pro_auroc,0.6539767483207704
latency_ms_mean,49.41680145263672
latency_ms_std,3.104442596435547
fps,20.236032495110898
throughput_samples_per_sec,35.23771836431844
throughput_total_samples,14668.0
throughput_total_time_sec,416.25850596651435
gpu_peak_reserved_bytes,1092616192.0
gpu_peak_reserved_bytes_std,0.0
params_total,208377345.0
params_trainable,208377345.0
flops,nan
vram_peak_bytes,935284224.0
