category,image_auroc,image_f1,pixel_f1,region_f1,pixel_auroc,pro_auroc,latency_ms_mean,latency_ms_std,fps,params_total,params_trainable,flops,vram_peak_bytes
bottle,0.9857142857142858,0.9677419354838709,0.49330407898912915,0.054644811898469925,0.8959049440871774,0.7390507654978675,105.61783599853516,4.576137542724609,9.468097793765338,208377345.0,208377345.0,nan,709709312.0
cable,0.5333583208395801,0.7603305785123966,0.10223380583411712,0.0,0.5623722899113461,0.3681600165261487,119.69124603271484,9.023799896240234,8.354829890622687,208377345.0,208377345.0,nan,722235904.0
capsule,0.6194654966094935,0.9045643153526971,0.09935383402422569,0.01133144460618496,0.8857396429062825,0.6735696627719128,118.24790954589844,3.939260244369507,8.456809121110473,208377345.0,208377345.0,nan,719904256.0
carpet,0.7740770465489566,0.8811881188118811,0.29396860544959996,0.05243445560336113,0.8897451636583971,0.7178509706087475,119.60779571533203,13.104689598083496,8.360659052525405,208377345.0,208377345.0,nan,722235904.0
grid,0.48538011695906436,0.8571428571428571,0.08383598632493522,0.0,0.7507301991797849,0.4099786130855228,117.08365631103516,11.644868850708008,8.540901706583874,208377345.0,208377345.0,nan,722235904.0
hazelnut,0.7135714285714285,0.8,0.3364257707041136,0.0419580414891243,0.9433734938198054,0.7626983412101178,119.70006561279297,8.604015350341797,8.354214301225285,208377345.0,208377345.0,nan,722235904.0
leather,0.9731657608695652,0.956989247311828,0.2954382154862708,0.01600000075995922,0.9735232742129627,0.9255336591916155,121.16275787353516,3.219784736633301,8.253361161057096,208377345.0,208377345.0,nan,722235904.0
metal_nut,0.3739002932551319,0.8942307692307694,0.21674149947179008,0.030075188726186752,0.4264882785515477,0.3516963094386274,89.12930297851562,5.1697893142700195,11.219654665548628,208377345.0,208377345.0,nan,695424512.0
pill,0.7307692307692308,0.9155844155844156,0.11986493627859277,0.043795619159936905,0.7468502966083744,0.5981995408254633,96.65109252929688,1.1373472213745117,10.346494528211153,208377345.0,208377345.0,nan,703361536.0
screw,0.6480836236933798,0.853046594982079,0.09134992349443909,0.014285714365541935,0.900873500020706,0.6810885117269068,122.04588317871094,1.3303889036178589,8.1936397521554,208377345.0,208377345.0,nan,722235904.0
tile,0.8012265512265512,0.8538011695906432,0.29323685430875546,0.03908794745802879,0.7585150398457821,0.4920318229176987,100.10527038574219,10.419021606445312,9.989484031626253,208377345.0,208377345.0,nan,705009152.0
toothbrush,0.4222222222222223,0.8450704225352113,0.0927056599260176,0.015503876842558384,0.840477114178396,0.569850962599111,117.27204895019531,14.659008979797363,8.52718110540299,208377345.0,208377345.0,nan,722235904.0
transistor,0.6229166666666667,0.608695652173913,0.1596951329012517,0.0476190447807312,0.6744297160277926,0.3947342904058894,121.09011840820312,3.9178810119628906,8.258312182245385,208377345.0,208377345.0,nan,722235904.0
wood,0.9473684210526316,0.9268292682926829,0.4465549564867224,0.06451612710952759,0.9302191126237118,0.7074906458531136,119.55076599121094,6.582493305206299,8.36464736724077,208377345.0,208377345.0,nan,722235904.0
zipper,0.8931197478991597,0.9042145593869733,0.31457461285377153,0.056410256773233414,0.9207870378817726,0.716878288220624,120.82565307617188,5.541285037994385,8.27638812239295,208377345.0,208377345.0,nan,722235904.0
