2025-11-09 12:42:28,011 | INFO | winclip | Experiment dir: /home/cvml/data/nwj/miniCLIP/Google-AI-Captston/wj/results/mvtec/winclip/mvtec_winclip/20251109-124228
2025-11-09 12:42:28,011 | INFO | winclip | === Category: bottle ===
2025-11-09 12:43:23,025 | INFO | winclip | === Category: cable ===
2025-11-09 12:44:54,789 | INFO | winclip | === Category: capsule ===
2025-11-09 12:46:09,680 | INFO | winclip | === Category: carpet ===
2025-11-09 12:47:20,078 | INFO | winclip | === Category: grid ===
2025-11-09 12:48:11,707 | INFO | winclip | === Category: hazelnut ===
2025-11-09 12:49:20,156 | INFO | winclip | === Category: leather ===
2025-11-09 12:50:30,786 | INFO | winclip | === Category: metal_nut ===
2025-11-09 12:51:47,429 | INFO | winclip | === Category: pill ===
2025-11-09 12:53:20,625 | INFO | winclip | === Category: screw ===
2025-11-09 12:54:46,725 | INFO | winclip | === Category: tile ===
2025-11-09 12:56:05,350 | INFO | winclip | === Category: toothbrush ===
2025-11-09 12:56:39,740 | INFO | winclip | === Category: transistor ===
2025-11-09 12:57:43,600 | INFO | winclip | === Category: wood ===
2025-11-09 12:58:39,613 | INFO | winclip | === Category: zipper ===
2025-11-09 13:00:03,433 | INFO | winclip | 완료. 결과는 /home/cvml/data/nwj/miniCLIP/Google-AI-Captston/wj/results/mvtec/winclip/mvtec_winclip/20251109-124228 에 저장되었습니다.
