category,image_auroc,image_f1,pixel_f1,region_f1,pixel_auroc,pro_auroc,latency_ms_mean,latency_ms_std,fps,throughput_samples_per_sec,throughput_total_samples,throughput_total_time_sec,gpu_peak_reserved_bytes,gpu_peak_reserved_bytes_std,params_total,params_trainable,flops,vram_peak_bytes
candle,0.6007,0.6735395189003437,0.07323121609031623,0.0,0.8457409915343768,0.7748894549465922,38.316158294677734,3.4954323768615723,26.09864987792641,68.58697126428882,15384.0,224.29915939457715,570425344.0,0.0,208377345.0,208377345.0,nan,540057600.0
capsules,0.41750000000000004,0.7692307692307694,0.012870593404422098,0.006944444444444444,0.5523158134357194,0.20819196532794457,38.97756576538086,4.403197765350342,25.655783791613306,65.93571929268225,16000.0,242.6605817247182,574619648.0,0.0,208377345.0,208377345.0,nan,539274240.0
cashew,0.853,0.8699551569506725,0.10249553059558386,0.05280528052805281,0.8573493248082148,0.7878697135831966,38.74268341064453,3.476942539215088,25.81132518366682,63.83595417854947,15000.0,234.97729755938053,578813952.0,0.0,208377345.0,208377345.0,nan,539208704.0
chewinggum,0.6942,0.8,0.20964549321052842,0.022026431718061675,0.8581531040708938,0.4800683675726102,38.7868766784668,4.155480861663818,25.781916092129357,64.62548001907942,15000.0,232.10659318231046,583008256.0,0.0,208377345.0,208377345.0,nan,539208704.0
fryum,0.5156000000000001,0.8,0.17054887898367668,0.01605136436597111,0.7422647102664811,0.421210583555589,38.758888244628906,3.744697093963623,25.80053363988264,64.94695570418574,15000.0,230.95770752243698,574619648.0,0.0,208377345.0,208377345.0,nan,538583552.0
macaroni1,0.4825,0.6688963210702341,0.04448337586167497,0.0,0.7721762505987247,0.23791892121148261,38.72962951660156,3.5837597846984863,25.820024939080486,68.20322249399689,15384.0,225.5611895956099,599785472.0,0.0,208377345.0,208377345.0,nan,537695232.0
macaroni2,0.5126999999999999,0.6688963210702341,0.007360639614200958,0.0,0.546303035034224,0.10308393262608857,38.845672607421875,3.5830070972442627,25.742893168721693,68.18784873610076,15384.0,225.61204503662884,582995648.0,397707.625,208377345.0,208377345.0,nan,538848256.0
pcb1,0.5751000000000001,0.6802721088435374,0.01655704098890899,0.003770028275212064,0.4485468316943402,0.16964899832182867,38.41425704956055,3.3373308181762695,26.032001574567477,68.12857805359221,15384.0,225.80832360684872,587189952.0,397707.625,208377345.0,208377345.0,nan,538356736.0
pcb2,0.4217,0.6666666666666665,0.015649195551963875,0.0034843205574912896,0.706079657998347,0.3223730076266158,38.650482177734375,3.971097469329834,25.872898438924942,67.98608757876347,15384.0,226.28159007057548,591384256.0,397707.625,208377345.0,208377345.0,nan,538160128.0
pcb3,0.5896039603960396,0.6711864406779661,0.01549253526999359,0.0045351473922902496,0.6548367621355705,0.2328960246687607,38.840484619140625,3.403247356414795,25.74633168987802,68.40033430377018,15461.0,226.03690694458783,595591168.0,0.0,208377345.0,208377345.0,nan,537963520.0
pcb4,0.638019801980198,0.6666666666666665,0.08809236302672442,0.007568590350047303,0.8184310263135743,0.5333488296777998,38.565242767333984,2.1599349975585938,25.930084403540498,68.03692808904728,15461.0,227.24423977173865,587202560.0,0.0,208377345.0,208377345.0,nan,537044992.0
pipe_fryum,0.6936,0.8132780082987552,0.17327381889880977,0.010714285714285714,0.8881423227001026,0.7548487558579631,38.43079376220703,1.7840156555175781,26.020800043516232,64.95752494095306,15000.0,230.92012840136886,578813952.0,0.0,208377345.0,208377345.0,nan,538706944.0
