metric,value
image_auroc,nan
image_f1,1.0
pixel_f1,0.432094642942327
region_f1,0.0
pixel_auroc,0.9472574700857522
pro_auroc,0.8553959730832362
latency_ms_mean,42.402587890625
latency_ms_std,0.412757009267807
fps,23.583466239830493
throughput_samples_per_sec,7.5026387016172436
throughput_total_samples,1000.0
throughput_total_time_sec,133.28643958084285
gpu_peak_reserved_bytes,570425344.0
gpu_peak_reserved_bytes_std,0.0
params_total,208377345.0
params_trainable,208377345.0
flops,nan
vram_peak_bytes,540057600.0
