metric,value
image_auroc,nan
image_f1,1.0
pixel_f1,0.1176470588235294
region_f1,0.0
pixel_auroc,0.9583869372205046
pro_auroc,0.8481334952906195
latency_ms_mean,50.13670349121094
latency_ms_std,0.0
fps,19.94546769863523
throughput_samples_per_sec,7.6818984305856794
throughput_total_samples,1.0
throughput_total_time_sec,0.13017615489661694
gpu_peak_reserved_bytes,570425344.0
gpu_peak_reserved_bytes_std,0.0
params_total,208377345.0
params_trainable,208377345.0
flops,nan
vram_peak_bytes,540057600.0
